"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10774","Delete test case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkDeleteCase"
"","462","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","170","checkDeleteProject","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ProjectAPITest","4. Project Teardown","tests.api.ProjectAPITest","checkDeleteProject"
"","233","checkCreateRun","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateRun"
"","295","checkCreateCase","API Smoke","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkCreateCase"
"","5245","Sign out from user menu returns to login page","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkSignOut"
"","412","checkDeleteCase","API Smoke","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkDeleteCase"
"","514","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","1707","Login page opens with email, password fields and Sign in button","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkLoginPageOpens"
"","496","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","6539","Login and creation new project with filling name and code fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateNewProject"
"","9237","Create test case via Quick test","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCaseViaQuickTest"
"","500","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","9304","Create test case with title and random Status, Severity, Priority, Type","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCase"
"","14920","Create test plan with case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkCreatePlan"
"","229","checkGetCase","API Smoke","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkGetCase"
"","11971","Delete test plan","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkDeletePlan"
"","223","checkCreateCaseForResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateCaseForResult"
"","2084","Create an account link opens signup page with registration fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSignupPageOpens"
"","4194","checkCreateProject","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ProjectAPITest","1. Project Setup","tests.api.ProjectAPITest","checkCreateProject"
"","11287","Create test run with case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkCreateRun"
"","455","checkUpdateCase","API Smoke","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkUpdateCase"
"","503","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","14283","Delete test run","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkDeleteRun"
"","10495","Create suite with required name field","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.SuiteTest","Smoke","tests.ui.SuiteTest","checkCreateSuite"
"","572","checkCleanup","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCleanup"
"","32787","Successful registration opens inactive page","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSuccessfulRegistration"
