"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2552","Validation errors on signup form","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RegistrationTest","Regression","tests.ui.RegistrationTest","checkSignupValidationErrors"
"","2398","Validation errors on signup form","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RegistrationTest","Regression","tests.ui.RegistrationTest","checkSignupValidationErrors"
"","9124","Edit project name and code in settings, then delete","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Regression","tests.ui.ProjectTest","checkUpdateProjectSettings"
"","1907","Required field errors on login form","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Regression","tests.ui.LoginTest","checkRequiredFieldErrors"
"","7132","Create project with name, code, description and Public access","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Regression","tests.ui.ProjectTest","checkCreateProjectWithFullData"
"","1827","Required field errors on login form","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Regression","tests.ui.LoginTest","checkRequiredFieldErrors"
"","1909","Forgot password link leads to password reset page","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Regression","tests.ui.LoginTest","checkForgotPasswordLink"
"","1995","Create an account link leads to signup page","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Regression","tests.ui.LoginTest","checkCreateAccountLink"
"","1872","Required field errors on login form","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Regression","tests.ui.LoginTest","checkRequiredFieldErrors"
"","10061","Create test case with attachment","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Regression","tests.ui.CaseTest","checkCreateCaseWithAttachment"
"","12806","Validation errors on signup form","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RegistrationTest","Regression","tests.ui.RegistrationTest","checkSignupValidationErrors"
"","11585","Create suite with name, description and preconditions","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.SuiteTest","Regression","tests.ui.SuiteTest","checkCreateSuiteWithFullData"
"","1729","Remember me checkbox is visible and clickable","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Regression","tests.ui.LoginTest","checkRememberMeCheckbox"
