"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","checkCreateAndDeleteResult","API Smoke","2026-07-20","skipped","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","32785","Successful registration opens inactive page","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSuccessfulRegistration"
"","1965","Create an account link opens signup page with registration fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSignupPageOpens"
"","14608","Create test plan with case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkCreatePlan"
"","10","checkDeleteProject","API Smoke","2026-07-20","broken","2026-07-20","tests.api.ProjectAPITest","4. Project Teardown","tests.api.ProjectAPITest","checkDeleteProject"
"","17","checkCreateCase","API Smoke","2026-07-20","broken","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkCreateCase"
"","12084","Delete test plan","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkDeletePlan"
"","1655","Login page opens with email, password fields and Sign in button","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkLoginPageOpens"
"","0","checkCreateRun","API Smoke","2026-07-20","skipped","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateRun"
"","1","checkCleanup","API Smoke","2026-07-20","skipped","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCleanup"
"","7259","Login and creation new project with filling name and code fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateNewProject"
"","1","checkDeleteCase","API Smoke","2026-07-20","skipped","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkDeleteCase"
"","1","checkGetCase","API Smoke","2026-07-20","skipped","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkGetCase"
"","12194","Create test run with case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkCreateRun"
"","19","checkCreateCaseForResult","API Smoke","2026-07-20","broken","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateCaseForResult"
"","8711","Create suite with required name field","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.SuiteTest","Smoke","tests.ui.SuiteTest","checkCreateSuite"
"","5521","Sign out from user menu returns to login page","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkSignOut"
"","8725","Create test case via Quick test","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCaseViaQuickTest"
"","1","checkUpdateCase","API Smoke","2026-07-20","skipped","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkUpdateCase"
"","99","checkCreateProject","API Smoke","2026-07-20","broken","2026-07-20","tests.api.ProjectAPITest","1. Project Setup","tests.api.ProjectAPITest","checkCreateProject"
"","10507","Create test case with title and random Status, Severity, Priority, Type","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCase"
"","11134","Delete test case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkDeleteCase"
"","12138","Delete test run","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkDeleteRun"
