"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2203","Create an account link opens signup page with registration fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSignupPageOpens"
"","12445","Delete test plan","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkDeletePlan"
"","15770","Create test run with case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkCreateRun"
"","9455","Create suite with required name field","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.SuiteTest","Smoke","tests.ui.SuiteTest","checkCreateSuite"
"","6772","Login and creation new project with filling name and code fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateNewProject"
"","21892","Create test plan with case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkCreatePlan"
"","8888","Create test case via Quick test","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCaseViaQuickTest"
"","32831","Successful registration opens inactive page","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSuccessfulRegistration"
"","10036","Create test case with title and random Status, Severity, Priority, Type","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCase"
"","10417","Delete test case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkDeleteCase"
"","32639","Delete test run","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkDeleteRun"
"","1768","Login page opens with email, password fields and Sign in button","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkLoginPageOpens"
"","5414","Sign out from user menu returns to login page","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkSignOut"
