"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31891","Create test case via Quick test","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCaseViaQuickTest"
"","32100","Sign out from user menu returns to login page","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkSignOut"
"","31851","Delete test plan","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkDeletePlan"
"","325","checkDeleteProject","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ProjectAPITest","4. Project Teardown","tests.api.ProjectAPITest","checkDeleteProject"
"","833","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","1993","Create an account link opens signup page with registration fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSignupPageOpens"
"","31937","Create suite with required name field","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","Smoke","tests.ui.SuiteTest","checkCreateSuite"
"","564","checkDeleteCase","API Smoke","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkDeleteCase"
"","368","checkGetCase","API Smoke","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkGetCase"
"","429","checkCreateCase","API Smoke","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkCreateCase"
"","799","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","844","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","799","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","388","checkCreateCaseForResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateCaseForResult"
"","31836","Create test run with case","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkCreateRun"
"","31840","Create test case with title and random Status, Severity, Priority, Type","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCase"
"","1783","Login page opens with email, password fields and Sign in button","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkLoginPageOpens"
"","32098","Delete test case","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkDeleteCase"
"","867","checkCreateAndDeleteResult","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateAndDeleteResult"
"","32072","Login and creation new project with filling name and code fields","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateNewProject"
"","3504","checkCreateProject","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ProjectAPITest","1. Project Setup","tests.api.ProjectAPITest","checkCreateProject"
"","745","checkUpdateCase","API Smoke","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","2. Repository - Case","tests.api.CaseAPITest","checkUpdateCase"
"","32003","Create test plan with case","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkCreatePlan"
"","398","checkCreateRun","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCreateRun"
"","32418","Successful registration opens inactive page","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSuccessfulRegistration"
"","32036","Delete test run","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkDeleteRun"
"","869","checkCleanup","API Smoke","2026-07-20","passed","2026-07-20","tests.api.ResultAPITest","3. Result","tests.api.ResultAPITest","checkCleanup"
